file,kind,overall,en_pages,ru_pages,ua_pages,unknown_pages,likely_translation,notes
"Attachment 9 - School Character Reference, Grade 9.pdf",pdf-text,ENGLISH,1,0,0,1,no,
Attachment 111 - Article “About the Measuring and Computing Devices in Technological Processes Journal”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 75 - Letter of recommendation from Oleksandr Helevei.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,translation_cue_words
Attachment 41 - IEEE Digital Membership Card.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
Attachment 130 - Conference Thesis “LED Illuminator Based on RGB LEDs with PWM”.pdf,pdf-text,UKRAINIAN,0,0,12,0,no,
Attachment 80 - Copyright Registration Certificate No. 119486.pdf,pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 107 - Conference Thesis “Fundamentals of Calibration of Television-Based Vehicle Control Systems”.pdf,pdf-text,UKRAINIAN,1,0,2,0,yes,non_en_then_en_pages
Attachment 13 - Evaluation Repor.pdf,pdf-text,ENGLISH,8,0,0,0,no,
"Attachment 129 - Article “ASNK - A Look into the Future of Instrumentation, May 16-17, 2017, Kyiv”.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Attachment 17 - Official Statistics of the State Statistics Service of Ukraine.pdf,pdf-text,UKRAINIAN,0,0,3,0,no,
Attachment 51 - Article “From a virtual judge to intelligent solar roofs- how a Ukrainian engineer is shaping the future of computer vision”.pdf,pdf-text,UKRAINIAN,0,0,3,0,no,
Attachment 60 - Article “CSC Hackathon 2021 Succeed”.pdf,pdf-text,ENGLISH,6,0,0,0,no,
"Attachment 30 - Contract for Provision of Services No. 250515:1 dated May 15, 2025.pdf",pdf-text,ENGLISH,6,0,0,0,no,
Attachment 105 - Article “Analysis of Calibration Errors in Automobile Control Television System”.pdf,pdf-text,UKRAINIAN,1,0,5,0,yes,"translation_cue_words,non_en_then_en_pages"
Attachment 135 - Article “GlobalLogic Recognized as Leader in ISG Provider Lens Digital Engineering Services 2024 U.S..pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 163 - Article “White House Unveils America’s AI Action Plan”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 48 - Article “Bylaws of the Association for Computing Machinery”.pdf,pdf-text,ENGLISH,19,0,0,0,no,
"Attachment 11 - School Character Reference, Grade 11.pdf",pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 162 - Article “Taking charge- Manufacturers support growth with active workforce strategies”.pdf,pdf-text,ENGLISH,20,0,0,0,no,translation_cue_words
Attachment 73 - Letter of recommendation from Dmitry Ryabokon.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 140 - Article “Waveo - Digital Product Studio”.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Attachment 52 - Website statistics podrobnosti.ua.pdf,pdf-text,ENGLISH,6,0,0,0,no,
Attachment 100 - Article “About the Ukrainian Metrological Journal”.pdf,pdf-text,ENGLISH,5,0,0,0,no,translation_cue_words
Attachment 63 - Letter of recommendation from Tetiana Gusar.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
Attachment 79 - Copyright Registration Certificate No. 119484.pdf,pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 87 - Hunyuan3D Project Materials.pdf,pdf-ocr,ENGLISH,5,0,0,0,no,
Attachment 93 - Article “Improving the Traffic Signs Accuracy Detection with Digital Calibration of Wide-Angle Camera”.pdf,pdf-text,UKRAINIAN,2,0,4,0,yes,non_en_then_en_pages
Attachment 34 - SPIE Membership Card.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 46 - Certificate of ACM Membership.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
Attachment 131 - Conference Thesis “Use of Thermographic Diagnostics in Nondestructive Testing of Products”.pdf,pdf-text,UKRAINIAN,0,0,12,0,no,
Attachment 43 - Article “Ieee Constitution and Bylaws”.pdf,pdf-ocr,ENGLISH,5,0,0,0,no,
Attachment 106 - Conference Thesis “Approaches to the Development of Television Systems for Automatic Automobile Control in Ukraine”.pdf,pdf-text,UKRAINIAN,0,0,5,0,no,
Attachment 134 - Article “HiL Testing:ADAS Project”.pdf,pdf-text,ENGLISH,7,0,0,0,no,
Attachment 123 - Conference Thesis “Design of a High-Resolution Camera Lens for Vehicle Control Systems”.pdf,pdf-text,UKRAINIAN,0,0,2,0,no,
"Attachment 71 - 3D Vehicle Bounding Box Estimation, Sample Results.pdf",pdf-ocr,UKRAINIAN,1,0,4,0,no,
Attachment 152 - Letter of recommendation from Volodymyr Mykytenko.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 110 - Article “Measuring and Computing Devices in Technological Processes”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 68 - Letter of recommendation from Victoria Taraniuk.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
Attachment 97 - Article “Bulletin of Kyiv Polytechnic Institute. Series instrument making”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 132 - Conference Thesis “Fire Detection in Images”.pdf,pdf-text,UKRAINIAN,0,0,3,0,no,
Attachment 20 - Letter of recommendation from Valentyn Kolobrodov.pdf,pdf-text,ENGLISH,3,0,0,0,no,
"Attachment 53 - Article “Machine Learning Engineer- Job Description, Responsibilities, Pros and Cons”.pdf",pdf-text,UKRAINIAN,0,0,8,0,no,
Attachment 127 - DOAJ Journal Profile.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 74 - Letter of recommendation from Denis Kondratenko.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
Attachment 77 - Feedline Recognition Module.pdf,pdf-text,ENGLISH,4,0,0,4,no,
"Attachment 28 - Microbial Colony Counting System, Sample Analysis Results.pdf",pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 120 - Conference Thesis “Road-Marking Detection Using the Hough Transform”.pdf,pdf-text,UKRAINIAN,0,0,4,0,no,
Attachment 70 - Sports Field Geometry and Video Understanding.pdf,pdf-ocr,ENGLISH,1,0,0,1,no,
Attachment 89 - Article “Team 2016:17 Formula Student KPI”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 92 - Letter of recommendation from Vitalii Pasichnyk.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
Attachment 24 - DotykLab presentation.pdf,pdf-text,ENGLISH,17,0,0,1,no,
Attachment 10 - High School Diploma.pdf,pdf-ocr,UKRAINIAN,0,0,4,0,no,
Attachment 116 - Conference Thesis “Recognition Algorithm of Human by Thermographic Image”.pdf,pdf-text,UKRAINIAN,0,4,13,0,no,
"Attachment 50 - Article ""Edward A Feigenbaum - A.M. Turing Award Laureate"".pdf",pdf-text,ENGLISH,4,0,0,0,no,
"Attachment 102 - Article “IAS Ukrainian Scientific Periodicals"".pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 141 - Company Profile “Waveo”.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Attachment 126 - Article “About the KPI Science News Journal”.pdf,pdf-text,ENGLISH,7,0,0,0,no,
Attachment 108 - Certificate on the Affiliation of Publications.pdf,pdf-text,ENGLISH,2,0,1,1,yes,non_en_then_en_pages
Attachment 117 - Conference Thesis “Method for Human Recognition from a Thermal Image”.pdf,pdf-text,RUSSIAN,0,4,0,0,no,
Attachment 76 - Letter of recommendation from Yuliia Kramarenko.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
"Attachment 149 - DOU Salary Statistics for Computer Vision Engineer, June 2025.pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 94 - Conference Thesis “Calibration of a Wide-Angle Automotive Camera”.pdf,pdf-text,UKRAINIAN,0,0,2,0,no,
"Attachment 142 - Monobank Account Statement, EUR Account, August-December 2025.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Attachment 21 - Letter of recommendation from Volodymyr Borovytsky.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 35 - SPIE Bylaws.pdf,pdf-text,ENGLISH,11,0,0,0,no,
Attachment 114 - Scilit Source Profile.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 6 - Certificate of Excellence in All-Ukrainian Physics Competition Levenya 2013.pdf,pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 15 - Diploma of the Laureate of the Verkhovna Rada of Ukraine Scholarship.pdf,pdf-ocr,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 148 - Article “Accurate and Reliable Salary Data”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 67 - Letter of recommendation from Kseniia Semenova.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 118 - Article “Optical-Electronic Detector of Road Marking”.pdf,pdf-text,RUSSIAN,1,5,1,0,no,
Attachment 153 - ProtoVision Studio PRESENTATION.pdf,pdf-text,ENGLISH,1,0,0,19,no,
Attachment 98 - Index Copernicus Journal Profile.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 40 - Article “ResearchGate and SPIE announce Journal Home partnership for full open access portfolio coverage”.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Attachment 47 - Article “About ACM Membership”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 27 - Cows.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
"Attachment 139 - Article “GlobalLogic, Ukraine's third-largest IT company, attracted projects for 1,100 specialists in 2024”.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Переводы/Attachment 119 - Conference Thesis “Optical-Electronic Detector of Road Marking” ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Переводы/Attachment 120 - Conference Thesis “Road-Marking Detection Using the Hough Transform” ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Переводы/Attachment 117 - Conference Thesis “Method for Human Recognition from a Thermal Image” ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,translation_cue_words
Переводы/Attachment 105 - Article “Analysis of Calibration Errors in Automobile Control Television System” ENG.pdf,pdf-text,ENGLISH,6,0,0,0,no,translation_cue_words
Переводы/Attachment 94 - Conference Thesis “Calibration of a Wide-Angle Automotive Camera” ENG.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Переводы/Attachment 115 - Article “Recognition Algorithm of Human by Thermographic Image” ENG.pdf,pdf-text,ENGLISH,5,0,0,0,no,
Переводы/Attachment 132 - Conference Thesis “Fire Detection in Images” ENG.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Переводы/Attachment 55 - Article “Teacher and Student” ENG.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Переводы/Attachment 122 - Article “High Resolution Camera Design Planning Theoretical Foundations for Driving Systems” ENG.pdf,pdf-text,ENGLISH,6,0,0,0,no,
Переводы/Attachment 16 - Order of the Ministry of Education and Science of Ukraine No. 1438 ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Переводы/Attachment 131 - Conference Thesis “Use of Thermographic Diagnostics in Nondestructive Testing of Products” ENG.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Переводы/Attachment 106 - Conference Thesis “Approaches to the Development of Television Systems for Automatic Automobile Control in Ukraine” ENG.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Переводы/Attachment 93 - Article “Improving the Traffic Signs Accuracy Detection with Digital Calibration of Wide-Angle Camera” ENG.pdf,pdf-text,ENGLISH,6,0,0,0,no,
"Переводы/Attachment 53 - Article “Machine Learning Engineer- Job Description, Responsibilities, Pros and Cons” ENG.pdf",pdf-text,ENGLISH,8,0,0,0,no,
Переводы/Attachment 123 - Conference Thesis “Design of a High-Resolution Camera Lens for Vehicle Control Systems” ENG.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Переводы/Attachment 51 - Article “From a virtual judge to intelligent solar roofs- how a Ukrainian engineer is shaping the future of computer vision” ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Переводы/Attachment 128 - Conference Thesis “LED as the Main Radiation Source” ENG.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Переводы/Attachment 107 - Conference Thesis “Fundamentals of Calibration of Television-Based Vehicle Control Systems” ENG.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Переводы/Attachment 157 - Real Estate Appraisal Report ENG.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Переводы/Attachment 99 - Article “Mathematical Aspects of Distortion Calibration for Digital Cameras” ENG.pdf,pdf-text,ENGLISH,7,0,0,0,no,translation_cue_words
Переводы/Attachment 109 - Article “Image Stabilization in TV Car Control Systems” ENG.pdf,pdf-text,ENGLISH,6,0,0,0,no,translation_cue_words
Переводы/Attachment 116 - Conference Thesis “Recognition Algorithm of Human by Thermographic Image” ENG.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Переводы/Attachment 118 - Article “Optical-Electronic Detector of Road Marking” ENG.pdf,pdf-text,ENGLISH,7,0,0,0,no,
Переводы/Attachment 130 - Conference Thesis “LED Illuminator Based on RGB LEDs with PWM” ENG.pdf,pdf-text,ENGLISH,1,0,0,0,no,
